1,120
1,130
1,140
2,100
2,105
2,110
2,115
2,120
2,125
2,130
2,135
2,140
2,145
2,150
2,155
2,160
2,165
3,100
3,110
3,120
3,130
3,140
3,150
3,160
3,170
4,90
4,95
4,100
4,105
4,110
4,115
4,120
4,125
4,130
4,135
4,140
4,145
4,150
4,155
4,160
4,165
4,170
4,175
4,180
4,185
4,190
5,90
5,92
5,94
5,96
5,98
5,100
5,102
5,104
5,106
5,108
5,110
5,112
5,114
5,116
5,118
5,120
5,122
5,124
5,126
5,128
5,130
5,132
5,134
5,136
5,138
5,140
5,142
5,144
5,146
5,148
5,150
5,152
5,154
5,156
5,158
5,160
5,162
5,164
5,166
5,168
5,170
5,172
5,174
5,176
5,178
5,180
5,182
5,184
5,186
5,188
5,190
5,192
5,194
5,196
5,198
6,95
6,100
6,105
6,110
6,115
6,120
6,125
6,130
6,135
6,140
6,145
6,150
6,155
6,160
6,165
6,170
6,175
6,180
6,185
6,190
6,195
6,200
7,90
7,100
7,110
7,120
7,130
7,140
7,150
7,160
7,170
7,180
7,190
7,200
8,85
8,90
8,95
8,100
8,105
8,110
8,115
8,120
8,125
8,130
8,135
8,140
8,145
8,150
8,155
8,160
8,165
8,170
8,175
8,180
8,185
8,190
8,195
8,205
8,210
8,215
9,90
9,100
9,110
9,120
9,130
9,140
9,150
9,160
9,170
9,180
9,190
10,81
10,82
10,83
10,84
10,85
10,86
10,87
10,88
10,89
10,90
10,91
10,92
10,93
10,94
10,95
10,96
10,97
10,98
10,99
10,100
10,101
10,102
10,103
10,104
10,105
10,106
10,107
10,108
10,109
10,110
10,111
10,112
10,113
10,114
10,115
10,116
10,117
10,118
10,119
10,120
10,121
10,122
10,123
10,124
10,125
10,126
10,127
10,128
10,129
10,130
10,131
10,132
10,133
10,134
10,135
10,136
10,137
10,138
10,139
10,140
10,141
10,142
10,143
10,144
10,145
10,146
10,147
10,148
10,149
10,150
10,151
10,152
10,153
10,154
10,155
10,156
10,157
10,158
10,159
10,160
10,161
10,162
10,163
